Sat Dec  5 15:56:26 2015,60,60
Sat Dec  5 15:56:26 2015,10.1,988.8,40.8
Sat Dec  5 15:57:27 2015,10.2,988.8,42.9
Sat Dec  5 15:58:27 2015,9.5,988.8,43.4
Sat Dec  5 15:59:27 2015,10.1,988.7,43.9
Sat Dec  5 16:00:27 2015,10.2,988.7,45.2
Sat Dec  5 16:01:27 2015,9.0,988.8,45.4
Sat Dec  5 16:02:27 2015,10.0,988.8,46.1
Sat Dec  5 16:03:27 2015,9.2,988.8,46.9
Sat Dec  5 16:04:27 2015,9.2,988.8,47.8
Sat Dec  5 16:05:27 2015,9.1,988.8,48.1
Sat Dec  5 16:06:27 2015,9.2,988.8,49.1
Sat Dec  5 16:07:27 2015,7.9,989.0,50.4
Sat Dec  5 16:08:28 2015,7.6,989.0,50.8
Sat Dec  5 16:09:28 2015,8.0,989.0,51.4
Sat Dec  5 16:10:28 2015,7.0,989.0,51.3
Sat Dec  5 16:11:28 2015,7.0,989.1,51.5
Sat Dec  5 16:12:28 2015,8.1,989.0,52.2
Sat Dec  5 16:13:28 2015,7.9,989.1,52.0
Sat Dec  5 16:14:28 2015,7.7,989.1,52.7
Sat Dec  5 16:15:28 2015,7.8,989.1,52.7
Sat Dec  5 16:16:28 2015,6.9,989.1,53.6
Sat Dec  5 16:17:28 2015,6.7,989.1,53.7
Sat Dec  5 16:18:28 2015,7.7,989.0,54.2
Sat Dec  5 16:19:29 2015,7.7,989.1,54.3
Sat Dec  5 16:20:29 2015,7.1,989.1,54.7
Sat Dec  5 16:21:29 2015,7.1,989.1,54.7
Sat Dec  5 16:22:29 2015,6.9,989.1,55.2
Sat Dec  5 16:23:29 2015,7.1,989.1,55.4
Sat Dec  5 16:24:29 2015,6.7,989.1,56.1
Sat Dec  5 16:25:29 2015,6.5,989.1,56.3
Sat Dec  5 16:26:29 2015,6.5,989.0,56.3
Sat Dec  5 16:27:29 2015,6.7,989.1,55.7
Sat Dec  5 16:28:29 2015,7.5,989.0,56.3
Sat Dec  5 16:29:29 2015,6.3,989.0,56.3
Sat Dec  5 16:30:29 2015,6.7,989.0,56.4
Sat Dec  5 16:31:30 2015,6.9,989.0,56.9
Sat Dec  5 16:32:30 2015,6.5,989.1,56.6
Sat Dec  5 16:33:30 2015,6.3,989.1,57.1
Sat Dec  5 16:34:30 2015,6.7,989.2,57.2
Sat Dec  5 16:35:30 2015,6.4,989.2,57.8
Sat Dec  5 16:36:30 2015,6.8,989.1,57.5
Sat Dec  5 16:37:30 2015,6.1,989.2,58.1
Sat Dec  5 16:38:30 2015,6.8,989.1,57.2
Sat Dec  5 16:39:30 2015,6.5,989.1,56.8
Sat Dec  5 16:40:30 2015,6.8,989.2,57.2
Sat Dec  5 16:41:30 2015,7.0,989.2,57.9
Sat Dec  5 16:42:31 2015,6.5,989.1,57.6
Sat Dec  5 16:43:31 2015,6.8,989.2,57.8
Sat Dec  5 16:44:31 2015,6.8,989.2,57.4
Sat Dec  5 16:45:31 2015,6.6,989.1,57.6
Sat Dec  5 16:46:31 2015,6.8,989.2,57.8
Sat Dec  5 16:47:31 2015,5.9,989.1,57.8
Sat Dec  5 16:48:31 2015,7.0,989.2,58.1
Sat Dec  5 16:49:31 2015,6.6,989.2,57.9
Sat Dec  5 16:50:31 2015,6.4,989.2,58.2
Sat Dec  5 16:51:31 2015,6.2,989.2,57.9
Sat Dec  5 16:52:31 2015,6.4,989.2,58.6
Sat Dec  5 16:53:32 2015,6.2,989.2,58.9
Sat Dec  5 16:54:32 2015,6.4,989.2,58.5
Sat Dec  5 16:55:32 2015,6.7,989.2,58.5
