Sat Dec  5 18:39:08 2015,5,100
Sat Dec  5 18:39:08 2015,22.0,988.3,30.2
Sat Dec  5 18:39:13 2015,20.9,988.6,31.2
Sat Dec  5 18:39:18 2015,22.0,988.5,31.1
Sat Dec  5 18:39:23 2015,21.7,988.5,31.2
Sat Dec  5 18:39:28 2015,22.2,988.5,30.7
Sat Dec  5 18:39:33 2015,22.2,988.5,31.0
Sat Dec  5 18:39:38 2015,22.2,988.5,30.9
Sat Dec  5 18:39:43 2015,22.9,988.5,31.2
Sat Dec  5 18:39:48 2015,22.9,988.5,31.2
Sat Dec  5 18:39:53 2015,22.9,988.5,31.2
Sat Dec  5 18:39:58 2015,22.4,988.5,31.1
Sat Dec  5 18:40:03 2015,23.5,988.5,30.7
Sat Dec  5 18:40:08 2015,23.5,988.5,31.1
Sat Dec  5 18:40:13 2015,23.3,988.5,30.9
Sat Dec  5 18:40:18 2015,23.5,988.5,31.0
Sat Dec  5 18:40:23 2015,23.5,988.5,31.2
Sat Dec  5 18:40:28 2015,23.5,988.5,31.6
Sat Dec  5 18:40:33 2015,23.5,988.5,31.1
Sat Dec  5 18:40:38 2015,22.6,988.5,30.9
Sat Dec  5 18:40:43 2015,23.7,988.5,31.1
Sat Dec  5 18:40:49 2015,23.5,988.5,31.1
Sat Dec  5 18:40:54 2015,23.5,988.5,30.8
Sat Dec  5 18:40:59 2015,23.5,988.5,30.9
Sat Dec  5 18:41:04 2015,23.7,988.5,31.1
Sat Dec  5 18:41:09 2015,23.7,988.5,30.9
Sat Dec  5 18:41:14 2015,23.5,988.5,31.1
Sat Dec  5 18:41:19 2015,23.7,988.5,31.1
Sat Dec  5 18:41:24 2015,23.5,988.5,31.3
Sat Dec  5 18:41:29 2015,23.3,988.5,31.1
Sat Dec  5 18:41:34 2015,23.7,988.5,30.8
Sat Dec  5 18:41:39 2015,24.0,988.5,31.1
Sat Dec  5 18:41:44 2015,23.5,988.5,30.7
Sat Dec  5 18:41:49 2015,23.7,988.5,30.8
Sat Dec  5 18:41:54 2015,24.0,988.5,30.7
Sat Dec  5 18:41:59 2015,23.9,988.5,31.0
Sat Dec  5 18:42:04 2015,23.9,988.5,30.9
Sat Dec  5 18:42:09 2015,23.7,988.5,30.9
Sat Dec  5 18:42:14 2015,24.0,988.5,31.1
Sat Dec  5 18:42:19 2015,23.7,988.5,30.5
Sat Dec  5 18:42:24 2015,23.7,988.5,30.7
Sat Dec  5 18:42:29 2015,24.2,988.5,30.7
Sat Dec  5 18:42:34 2015,23.5,988.5,30.6
Sat Dec  5 18:42:39 2015,24.2,988.5,30.3
Sat Dec  5 18:42:45 2015,23.3,988.5,30.4
Sat Dec  5 18:42:50 2015,23.5,988.5,30.9
Sat Dec  5 18:42:55 2015,23.5,988.5,31.0
Sat Dec  5 18:43:00 2015,24.0,988.5,30.8
Sat Dec  5 18:43:05 2015,24.0,988.5,30.9
Sat Dec  5 18:43:10 2015,23.3,988.5,31.1
Sat Dec  5 18:43:15 2015,23.5,988.5,31.1
Sat Dec  5 18:43:20 2015,23.5,988.5,30.8
Sat Dec  5 18:43:25 2015,24.2,988.5,31.0
Sat Dec  5 18:43:30 2015,24.0,988.6,30.8
Sat Dec  5 18:43:35 2015,23.5,988.5,30.9
Sat Dec  5 18:43:40 2015,23.5,988.6,30.7
Sat Dec  5 18:43:45 2015,23.7,988.6,30.8
Sat Dec  5 18:43:50 2015,23.5,988.5,30.6
Sat Dec  5 18:43:55 2015,24.0,988.5,31.0
Sat Dec  5 18:44:00 2015,23.8,988.5,30.9
Sat Dec  5 18:44:05 2015,24.0,988.5,30.9
Sat Dec  5 18:44:10 2015,24.6,988.6,31.4
Sat Dec  5 18:44:15 2015,24.0,988.6,31.0
Sat Dec  5 18:44:20 2015,24.6,988.6,30.8
Sat Dec  5 18:44:25 2015,24.0,988.6,31.2
Sat Dec  5 18:44:30 2015,24.0,988.5,30.7
Sat Dec  5 18:44:35 2015,24.8,988.5,30.5
Sat Dec  5 18:44:40 2015,24.0,988.5,30.3
Sat Dec  5 18:44:46 2015,24.2,988.5,31.0
Sat Dec  5 18:44:51 2015,24.2,988.5,30.9
Sat Dec  5 18:44:56 2015,23.5,988.5,30.8
Sat Dec  5 18:45:01 2015,24.0,988.5,30.8
Sat Dec  5 18:45:06 2015,24.6,988.6,30.7
Sat Dec  5 18:45:11 2015,24.2,988.5,30.8
Sat Dec  5 18:45:16 2015,24.2,988.6,30.9
Sat Dec  5 18:45:21 2015,24.2,988.5,30.5
Sat Dec  5 18:45:26 2015,24.6,988.5,31.2
Sat Dec  5 18:45:31 2015,24.6,988.6,30.9
Sat Dec  5 18:45:36 2015,24.0,988.5,30.8
Sat Dec  5 18:45:41 2015,24.8,988.5,30.5
Sat Dec  5 18:45:46 2015,24.0,988.5,30.7
Sat Dec  5 18:45:51 2015,24.0,988.5,31.1
Sat Dec  5 18:45:56 2015,23.5,988.5,30.9
Sat Dec  5 18:46:01 2015,25.6,988.5,30.8
Sat Dec  5 18:46:06 2015,25.8,988.5,31.0
Sat Dec  5 18:46:11 2015,26.7,988.5,31.3
Sat Dec  5 18:46:16 2015,26.2,988.5,30.7
Sat Dec  5 18:46:21 2015,26.2,988.5,30.4
Sat Dec  5 18:46:26 2015,26.2,988.5,30.9
Sat Dec  5 18:46:31 2015,26.2,988.5,30.8
Sat Dec  5 18:46:36 2015,26.0,988.5,30.7
Sat Dec  5 18:46:41 2015,26.5,988.5,31.3
Sat Dec  5 18:46:47 2015,26.5,988.5,31.2
Sat Dec  5 18:46:52 2015,26.2,988.5,31.3
Sat Dec  5 18:46:57 2015,26.0,988.5,30.4
Sat Dec  5 18:47:02 2015,26.7,988.5,31.2
Sat Dec  5 18:47:07 2015,25.6,988.5,30.9
Sat Dec  5 18:47:12 2015,26.2,988.5,30.9
Sat Dec  5 18:47:17 2015,26.7,988.5,31.1
Sat Dec  5 18:47:22 2015,26.5,988.5,30.9
Sat Dec  5 18:47:27 2015,26.7,988.5,31.2
